station,turnout
LOW,"6430, 6428, 6433, 6432, 6439, 6437, 901, 902, 906, 903, 907, 908, 920, 921, 922, 913, 914, 915, 916, 917, 6501, 6500, 6505, 6506, 6511, 6513, 6519, 6517, 6525, 6527"
SHS,"6401, 6402, 6405, 6404, 6407, 6408, 6410, 6413, 6412, 6415, 6417, 6418, 6420, 6422, 6424"
UNI,"5903, 5902, 5911, 5910"
TWO,"6101, 6100"
FAN,"6201, 6202, 6205, 6204"
KOT,"5301, 5302, 5313, 5312"
TAW,"5401, 5400, 5411, 5412, 5501, 5500, 5511, 5422, TAW901, TAW010, TAW014, TAW011, TAW015"
MKK,"5200, 5201, 5203, 5211, 5215, 5217, 5219, 5221, 5223, 5225, 5227, 5228"
TAP,"6003, 6002, 6005, 6009, 6010, 6019"
SHT,"5500, 5501, 5511, 5513, 5503, 5504, 5507, 5508, 5515, 5517, 5519, 5523, 5525, 5529, 5531, 5535, 5537, 5538, 5530"
LMC,"6601, 6600, 6603, 6602, 6613, 6612, 6615, 6614"
EXC,6701
ADM,6701
NHUH,"5117, 5118, 5119, 5120, 5134, 5106, 5116, 5104, 5102"
RAC,"5717, 5718, 5720, 5714, 5723, 5722, 5725, 5727, 621A, 5729, 5731, 5733, 5732, 5737, 5620, 5624, 5625, 5628, 635B, 5739"
HUH,"5130, 5108, 5102, 5104, 5111, 5112, 5113, 5114, 5116, 5127, 5131, 5126, 5132, 5134, 5101, 5136, 5106, 5137, 5135"
FOT,"5600, 5601, 5602, 5604, 5607, 5608, 5611, 5609, 5613, 5615, 5617, 5618, 5616, 5606, 5701, 5703, 5709, 5715, 621A, 5705, 5707, 5711, 5713, 5717, 5723, 5725, 5704, 5710, 5718, 5720, 5722"
